Codigo;Descricao;Unidade;Saldo
7000585;LUMINARIA UFO 300W 6500K LED HIGHBAY;UNI;0
7600549;LUMINARIA UFO LED SMD HIGH BAY 300W BIV;UNI;0
6991971;LUVA PPR P/TERMOFUSAO 32MM;UNI;0
6995869;LUVA REDUCAO PVC AGUA FRIA 75X50MM;UNI;0
7607625;LUVA SIMPLES PVC ESGOTO 75MM;UNI;0
6998327;LUVA SOLDAVEL 20MM MARROM;UN;0
6991462;LUVA SOLDAVEL 25MM AMANCO;UNI;0
7603725;MACANETA P/PORTA CASA ZAMAC 105X85X85MM;UNI;0
7606025;MACARICO CORTE 1503 C/2 BICOS;UNI;0
6991642;MANDRIL P/FURADEIRA 13MM;UNI;0
6997448;MANG. CIL. INCLINACAO EMPILH. STRONG 4RQ35RL;UN;7
7604885;MANGUEIRA 3/8POL VM PUSH LOC 300PSI;UNI;0
7605262;MANGUEIRA AR COMP/AGUA EMBOR PT 3/4POL;M;0
7600224;MANGUEIRA HIDRAULICA 1/2 2 TRAMAS;M;0
6991822;MANGUEIRA PNEUMATICA PU 4MM-10M;M;0
7605619;MANGUEIRA TRAMA ACO LAVADORA HD 585;M;0
7605388;MANGUEIRA VACUO-AR PU TR D130MM;M;0
6997527;MANTA ASFALTICA AD AL VEDACIT 10X10M;UNI;0
6991712;MANTA FILTRANTE P/AR G3;MT;0
6992091;MARTELETE PERF/ROMP 24MM 820W 220V;UNI;0
6994640;MASSA CORRIDA 25KG;KG;0
7603303;MASSA PLASTICA COM CATALISADOR 400GR;UN;0
7603650;MISTURADOR P/FURADEIRA TINTA 60X400MM;UN;0
6991596;MODULO TOMADA 1P - INTERRUPTOR SIMPLES;UN;0
6991551;MODULO TOMADA 2P+T 10A 42X22X35MM;UN;0
7600122;NÍVEL LINEAR DE PRECISÃO;UN;0
7601013;OLEO 10W40 SEMISSINTETICO;L;0
6994580;OLEO 20W-50 1L;L;0
6995479;ÓLEO HIDRÁULICO LUBRAX HYDRA XP68 20L;L;0
6996113;OLEO LUBRIFIANTE LUBRAX GEAR 220 20L (AUTOINDEX);L;0
7603232;OLEO LUBRIFICANTE 15W40 0,9KG;UN;10
6994253;ÓLEO LUBRIFICANTE DO MOTOR (15W40);L;0
7601223;ÓLEO LUBRIF LUBRAX 4T 20W50 24X1;L;13
7604098;OXIGENIO INDUSTRIAL P/MACARICO 7L/M3;UNI;0
7601575;PARAF. ALLEN CIL MA 16X60 OX;UN;0
7603932;PARAFUSO ALLEN INOX M8X55MM CILINDRICA;UNI;0
7609116;PARAFUSO PONTA AGULHA 3,5MM;UN;0
7607088;PATINS P/GUIA LINEAR HG30 S/ABAS HGH30HA;UNI;0
7607569;PATINS P/GUIA LINEAR MGH 20C B0ARR400;UNI;0
7603798;PINCEL 1/2 POL. (SANDER);UNI;0
6997744;PINO ENGATE 1/4POL ROSCA FEMEA NPT;UNI;0
7607359;PINO ENGATE RAPIDO PNEUMATICO 1/4 ROSCA FEMEA;UNI;0
6994664;PINO P-ENGATE RAPIDO FM 1-4 POL;UN;0
7606870;PLACA ISOPOR EPS 125X62,5CM;UNI;0
7606928;PLACA ISOPOR EPS 50X100CM;UNI;0
6998036;PURGADOR P/COMPRESSOR ROSCA 1/2 BSP 220V;UN;0
7603443;RED ESGOTO EXCENTRICA DN150X100;UNI;0
7605121;REFIL DO FILTRO DE GAS HPF50B-21 (YAWEI);UN;0
6998145;REFIL FILTRO BRANCO AP200 3M;UN;2
7602185;REFLETOR LED 300W PROVA AGUA;UN;0
6998223;REGISTRO ESFERA 32MM PPR AZUL;UNI;0
6994237;REGISTRO ESFERA METALICO 1/2POL C/ROSCA;UN;0
6998092;REGULADOR PRESSAO 1/4" SMC AR20-F02BE-D;UNI;0
6991704;REGULADOR PRESSAO AR-ARM10-06BG;UNI;2
6991705;REGULADOR PRESSAO AR-ARM10-08BG-SMC;UNI;0
6994273;RELE 12V 20A 250V SCY 11DM-SANYOU;UN;7
7605135;RESIN PE ALTA DESIND BR 1KG (ABRASIVO PLASTICO MC-1 GRANILHA LIMPEZA WAGNER);KG;0
6992359;RODIZIO RODIZIO ZN/PC 40 KG SCHIOPPA;UNI;0
7602637;ROLAMENTO 6202 ZZC3;UN;0
7601870;ROLAMENTO ACO D47MM 6204 ZZ;UN;0
6995823;ROLAMENTO LINEAR MGN 15-C-ZO-CM HIWIN;UNI;0
7607800;ROLAMENTO PATINS LINEAR 413N20C0;UNI;0
6991576;ROLO ANTI-GOTA ATLAS ESPUMA 10 CM;UNI;0
6997363;ROLO LA SINTETICA PINTURA 23CM;UNI;3
7606710;SACO COLETOR PO PANO P/LIXADEIRA DWE6421;UNI;2
7609478;SERVODRIVE LXM32MD18N4 2024075732;UN;0
6998468;SIFAO EXTENSIVEL UNIVERSAL LONGO PC 1.5M;UNI;2
7601413;SIFAO SANFONADO BRANCO 110X15X6CM(ABERT);UNI;0
6994427;SILICONE ACETICO 280G;UNI;0
6992296;SILICONE PU 40 CINZA 360 G;UNI;0
6995508;SOLVENTE QUEROSENE 900ML;ML;0
6996615;TAMPA 3/4 CONDULETE+TOMADA RED 2P+T 20A;UNI;0
7600552;TAMPA ASSENTO VASO SANIT OVAL UNIV BR;UNI;0
7600590;TAMPA CONDULETE ALUM 3/4 1TOMADA REDONDA;UNI;0
6991973;TE PPR P/TERMOFUSAO 32MM;UNI;0
7607520;TERMINAL FEMEA GIRAT 25DKO M36 1POL RETO;UNI;0
7600753;TERMINAL M14 1/4 MANGUEIRA HIDRÁULICA;UNI;0
7609019;TERMINAL PARAFUSADEIRA MAKITA 6438302;UN;0
7602464;TERMOSTATO FRIGORIFICO;UN;2
6995590;TINTA ESMALTE DEMARCACAO AMARELO 18L;L;0
6995284;TINTA ESMALTE SINTET CZ ALTO BRILHO 3.6L;UN;1
6994488;TOMADA BRANCA 10A 2P+T 250V;UNI;0
6990251;TOMADA INDUS. SOBRE MAC 3P 200/500V;UN;2
6990248;TOMADA INDUS. SOBREP. 3P FEMEA 32A;UN;2
6994458;TOMADA REDONDA EMBUTIR 2P+T 10A 250V;UNI;0
7602644;TORNEIRA AUTOMATICA COM SENSOR BIVOLT;UN;0
6993691;TORNEIRA JARDIM DECA;UNI;0
7608894;TRANSFORMADOR 12 12VAC 2A 24W BIVOLT;UN;2
7604155;TRANSFORMADOR COMANDO MONO;UN;0
7603989;TRILHO U21 ALUMINIO 2M RM021;UNI;0
7601651;TUBO ASPIRADOR IPC AA280 220V D38;MT;0
6998134;TUBO DUTO CORRUGADO ELETR COND 3/4 50MT;MT;0
7609080;UNIAO PVC SOLDAVEL 20MM;UN;0
7605911;VALV PNEUM BOTAO TRAVA 5/2V 1/4 ESCP 1/8;UNI;0
7606061;VALV REGULADORA FLUXO 1/2POL BSP ASC-15;UNI;0
7606561;VALVULA ANTI-RETROCESSO PAR B1533;UNI;0
7606552;VALVULA CILINDRO OXIGENIO 3/4POL NGT;UNI;0
6992639;VEDA ROSCA 18MMX50M;UN;0
7609139;V-RING EIXO DIAFRAGMA BUNA-N P1505;UN;0
